,id,description
0,oth450_mfm_ase1_cnt_china,Country membership factor loading in ASI region
1,oth450_mfm_ase1_cnt_japan,Country membership factor loading in ASI region
2,oth450_mfm_ase1_dsrt,Instrument Specific Returns in ASI region
3,oth450_mfm_ase1_market,Instrument market membership factor loading in ASI region
4,oth450_mfm_ase1_ri_beta,Beta style factor loading in ASI region
5,oth450_mfm_ase1_ri_divyield,Dividend yield style factor loading in ASI region
6,oth450_mfm_ase1_ri_growth,Growth style factor loading in ASI region
7,oth450_mfm_ase1_ri_leverage,Leverage style factor loading in ASI region
8,oth450_mfm_ase1_ri_momentum,Momentum style factor loading in ASI region
9,oth450_mfm_ase1_ri_nonlsize,Non linear size style factor loading in ASI region
10,oth450_mfm_ase1_ri_size,Size style factor loading in ASI region
11,oth450_mfm_ase1_ri_value,Value style factor loading in ASI region
12,oth450_mfm_ase1_ri_volatility,Volatility style factor loading in ASI region
13,oth450_mfm_ase1_srisk,Instrument specific risk in ASI region
