,id,description
0,pv37_001vda,Value-driven algorithm.
1,pv37_01vda,01 Volume Day Ahead
2,pv37_03vda,Value-driven algorithm.
3,pv37_06vda,"Custom field, possibly related to a specific data point or metric"
4,pv37_081vda,Value-driven algorithm.
5,pv37_0d_tpds,0-Day Trade Price Downside
6,pv37_1vda,Value-driven algorithm.
7,pv37_36vda,36 Volume Day Ahead
8,pv37_4vda,Value-driven algorithm.
9,pv37_5vda,Value-driven algorithm.
10,pv37_6vda,Value-driven algorithm.
11,pv37_adr_ticker_di,ADR Ticker Direct Indicator
12,pv37_all_1dls,Total assessment of Sale of Loan Debt 23.
13,pv37_all_1nstq,Quality assessment of Service Network 1.
14,pv37_all_1oscq,Quality cash pledge spread.
15,pv37_all_adbs,Assessment of Sale of Business Debt Assets.
16,pv37_all_agss,Total assessment of Sale of Strategic Goals Achieved.
17,pv37_all_aieo,Operating deposit pledge liabilities.
18,pv37_all_algn,Net gain loss assets.
19,pv37_all_atcq,Quality assessment of total current assets.
20,pv37_all_bcns,Total assessment of Sale of Non-Corporate Credit.
21,pv37_all_ccns,Total assessment of Sale of Non-Corporate Energy.
22,pv37_all_cdav,Total assessment of Value Added Debt Capital.
23,pv37_all_cinx,Total x-non-incorporated certificate traded volume.
24,pv37_all_cstq,Quality assessment of transaction security.
25,pv37_all_ctcv,Total assessment of Value Certificate Transaction Capital.
26,pv37_all_dlts,Total assessment of Sale of Transaction Loan Debt.
27,pv37_all_dltv,Total long-term debt volume.
28,pv37_all_dtns,Assessment of Sale of Operating Asset Transactions.
29,pv37_all_ecns,Total assessment of Sale of Non-Corporate Investments.
30,pv37_all_eiuo,Operating transaction expense.
31,pv37_all_eoos,Total assessment of Sale of Operating Pipeline Investments.
32,pv37_all_etoq,Quality assessment of various other equity types.
33,pv37_all_fbbs,Assessment of Sale of Business Banking Finance.
34,pv37_all_fbds,Total assessment of Sale of Debt Business Finance.
35,pv37_all_fcfs,Total assessment of Sale of Finance Equity Expense.
36,pv37_all_fcoo,Operating open asset spread.
37,pv37_all_iabs,Assessment of Sale of Business Asset Insurance.
38,pv37_all_iads,Total assessment of Sale of Debt Asset Investments.
39,pv37_all_icno,Operating loan spread.
40,pv37_all_icns,Assessment of Sale of Non-Investment Energy.
41,pv37_all_ists,Total assessment of Sale of Transaction Security Investments.
42,pv37_all_itpv,Total assessment of Value in Transactional Interest.
43,pv37_all_iucs,Total assessment of Sale of Corporate Utility Investments.
44,pv37_all_kcqs,Total assessment of Sale of Quality Check Kit.
45,pv37_all_letq,Quality assessment of telecommunications equity.
46,pv37_all_lltq,Quality assessment of long-term telecommunications liability.
47,pv37_all_ltls,Assessment of Sale of Market Pipeline Goods.
48,pv37_all_mocq,Quality cash management spread.
49,pv37_all_mpns,Total assessment of Sale of Non-Trade Debt.
50,pv37_all_mtps,Total assessment of Sale of Operating Team Management.
51,pv37_all_nein,Net income earnings.
52,pv37_all_nibx,Net income before extra.
53,pv37_all_niin,Net income interest.
54,pv37_all_niis,Total assessment of Sale of Insurance Investment Operations.
55,pv37_all_nins,Assessment of Sale of Non-Market Kit.
56,pv37_all_nont,Net operating expense.
57,pv37_all_ntiv,Total assessment of Value in International Transactions.
58,pv37_all_oiis,Total assessment of Sale of Insurance Net Network.
59,pv37_all_pbts,Total assessment of Sale of Transaction Banking Products.
60,pv37_all_pedv,Total assessment of Value Debt Expense.
61,pv37_all_pics,Total assessment of Sale of Corporate Investment Plans.
62,pv37_all_ppgs,Total assessment of Sale of Gas Resource Projects.
63,pv37_all_prgs,Assessment of Sale of Insurance Asset Projects.
64,pv37_all_ptcs,Total assessment of Sale of Corporate Transaction Plans.
65,pv37_all_qpic,Quality assessment of Paid-In Capital.
66,pv37_all_qred,Quality assessment of redemption processes.
67,pv37_all_rpds,Total assessment of Sale of Debt Water Services.
68,pv37_all_sbas,Assessment of Sale of Business Asset Services.
69,pv37_all_sbit,Total assessment of Sale of Business Information Technology.
70,pv37_all_scur,Total assessment of Sale of Corporate Utility Revenue.
71,pv37_all_sedv,Total assessment of Value Debt Securities.
72,pv37_all_setr,Total assessment of Sale of Finance Cash Flow.
73,pv37_all_sfee,Total assessment of Sale of Gas Pipeline Projects.
74,pv37_all_sicf,Total assessment of Sale of Insurance Energy Network.
75,pv37_all_sien,Total assessment of Sale of Insurance Energy Operations.
76,pv37_all_sinn,Total assessment of Sale of Insurance Net Value.
77,pv37_all_sinv,Assessment of Sale of Loan Banking Assets.
78,pv37_all_smcq,Quality asset management liquidity.
79,pv37_all_smcs,Total assessment of Sale of Corporate Management Services.
80,pv37_all_soca,Assessment of Sale of Operating Cash Flow.
81,pv37_all_socl,Assessment of Sale of Operating Debt Goods.
82,pv37_all_sola,Assessment of Sale of Operating Loan Kit.
83,pv37_all_sont,Total assessment of Sale of Operating Other Equity.
84,pv37_all_sopi,Total assessment of Sale of Operating Pipeline Operations.
85,pv37_all_sopp,Assessment of Sale of Operating Real Estate.
86,pv37_all_sote,Assessment of Sale of Operating Debt.
87,pv37_all_srev,Total assessment of Sale of Revenue.
88,pv37_all_stec,Total assessment of Sale of Transaction Equity Capital.
89,pv37_all_stnr,Assessment of Real Net Transaction Services.
90,pv37_all_suie,Total assessment of Sale of Unincorporated Equity.
91,pv37_all_swds,Total assessment of Sale of Equity Transaction Revenue.
92,pv37_all_tait,Total assessment of Transaction Interest Asset Transactions.
93,pv37_all_tdbs,Total assessment of Sale of Business Debt Transactions.
94,pv37_all_ttax,Total assessment of Transaction Tax.
95,pv37_all_ttiv,Total assessment of Value in Total Transactions.
96,pv37_all_vaia,Total assessment of Value Added Insurance Asset.
97,pv37_all_vbes,Total assessment of Value Based Equity Securities.
98,pv37_all_vbts,Total assessment of Sale of Transaction Banking Value.
99,pv37_all_veia,Assessment of Value Equity Payment Securities.
100,pv37_all_viac,Total assessment of Value in Accounting Changes.
101,pv37_all_viat,Total assessment of Value in Asset Transactions.
102,pv37_all_viex,Total assessment of Value in Exchange Transactions.
103,pv37_all_vmin,Total assessment of Value in Mining Transactions.
104,pv37_all_vnin,Net income notifications.
105,pv37_all_vrad,Total assessment of Value in Radio Assets.
106,pv37_analyst_revisn,Analyst Revision
107,pv37_analyst_revisn_di,Analyst Revision Direct Indicator
108,pv37_analyst_uncertainty,Analyst Uncertainty
109,pv37_analyst_uncertainty_di,Analyst Uncertainty Direct Indicator
110,pv37_annfv_mfm2_acta,Annualized MFM2 for ATCA.
111,pv37_annfv_mfm2_atot,Annualized MFM2 for ATOT.
112,pv37_annfv_mfm2_bloo,Annualized MFM2 for BLOO.
113,pv37_annfv_mfm2_bpao,Annualized MFM2 for BPAO.
114,pv37_annfv_mfm2_cnin,Annualized MFM2 for CNIN.
115,pv37_annfv_mfm2_deds,Annualized MFM2 for DEDS.
116,pv37_annfv_mfm2_dlcl,Annualized MFM2 for DLCL.
117,pv37_annfv_mfm2_dtsl,Annualized MFM2 for DTSL.
118,pv37_annfv_mfm2_dttl,Annualized MFM2 for DTTL.
119,pv37_annfv_mfm2_eltq,Annualized MFM2 for ELTQ.
120,pv37_annfv_mfm2_inds,Annualized MFM2 for INDS.
121,pv37_annfv_mfm2_iscs,Annualized MFM2 for ISCS.
122,pv37_annfv_mfm2_lctl,Annualized MFM2 for LCTL.
123,pv37_annfv_mfm2_lltl,Annualized MFM2 for LLTL.
124,pv37_annfv_mfm2_ltio,Annualized MFM2 for LTIO.
125,pv37_annfv_mfm2_octq,Annualized MFM2 for OCTQ.
126,pv37_annfv_mfm2_olto,Annualized MFM2 for OLTO.
127,pv37_annfv_mfm2_onet,Annualized MFM2 for ONET.
128,pv37_annfv_mfm2_peds,Annualized MFM2 for PEDS.
129,pv37_annfv_mfm2_rcao,Annualized MFM2 for RCAO.
130,pv37_annfv_mfm2_rltr,Annualized MFM2 for RLTR.
131,pv37_annfv_mfm2_saoo,Annualized MFM2 for SAOO.
132,pv37_annfv_mfm2_scor,Annualized MFM2 for SCOR.
133,pv37_annfv_mfm2_socf,Annualized MFM2 for SOCF.
134,pv37_annfv_mfm2_vami,Annualized MFM2 for VAMI.
135,pv37_annfv_mfm2_xecs,Annualized MFM2 for XECS.
136,pv37_average_daily_trading_volume,Average Daily Trading Volume
137,pv37_average_daily_trading_volume_di,Average Daily Trading Volume Direct Indicator
208,pv37_beta_vs_acwi_ex_us,Beta versus ACWI ex US
209,pv37_beta_vs_acwi_ex_us_di,Beta versus ACWI ex US Direct Indicator
210,pv37_beta_vs_country,Beta versus Country
211,pv37_beta_vs_country_di,Beta versus Country Direct Indicator
212,pv37_bs_accrued_income_taxes,Accrued Income Taxes on the Balance Sheet
213,pv37_bs_acct_note_rcv,Account Notes Receivable on the Balance Sheet
214,pv37_bs_acct_payable,Accounts Payable on the Balance Sheet
