,id,description
0,anl14_actvalue_bvps_fp0,Book Value Per Share - recent last quarter
1,anl14_actvalue_capex_fp0,Capital Expenditures - recent last quarter
2,anl14_actvalue_cfps_fp0,Cash Flow Per Share - recent last quarter
3,anl14_actvalue_div_fp0,Dividend - recent last quarter
4,anl14_actvalue_ebit_fp0,Earnings Before Interest & Taxes - recent last quarter
5,anl14_actvalue_ebitda_fp0,"Earnings Before Interest, Taxes, Depreciation & Amortization - recent last quarter"
6,anl14_actvalue_eps_fp0,Earnings Per Share - recent last quarter
7,anl14_actvalue_epsrep_fp0,Reported Earnings Per Share - recent last quarter
8,anl14_actvalue_ndebt_fp0,Net debt - recent last quarter
9,anl14_actvalue_ntp_fp0,Net profit - recent last quarter
10,anl14_actvalue_ntprep_fp0,Reported Net Profit - recent last quarter
11,anl14_actvalue_opp_fp0,Operating Profit - recent last quarter
12,anl14_actvalue_ptp_fp0,Pretax Profit - recent last quarter
13,anl14_actvalue_ptprep_fp0,Reported Pretax Profit - recent last quarter
14,anl14_actvalue_revenue_fp0,Revenue - recent last quarter
15,anl14_actvalue_roe_fp0,Returns on Equity - recent last quarter
16,anl14_d1_curperiodnum,Number of period -
17,anl14_d1_curperiodtype,Type of period -
18,anl14_d1_cursharesoutstanding,current Share Outstanding -
19,anl14_d1_xrefmap,Reference Map to Stock -
20,anl14_high_bvps_fp1,The Highest estimation of Book Value Per Share - upcoming quarter
21,anl14_high_bvps_fp2,The Highest estimation of Book Value Per Share - upcoming 2 quarters
22,anl14_high_bvps_fp3,The Highest estimation of Book Value Per Share - upcoming 3 quarters
23,anl14_high_bvps_fp4,The Highest estimation of Book Value Per Share - upcoming 4 quarters
24,anl14_high_bvps_fp5,The Highest estimation of Book Value Per Share - upcoming 5 quarters
25,anl14_high_bvps_fy1,The Highest estimation of Book Value Per Share - upcoming year
26,anl14_high_bvps_fy2,The Highest estimation of Book Value Per Share - upcoming 2 years
27,anl14_high_bvps_fy3,The Highest estimation of Book Value Per Share - upcoming 3 years
28,anl14_high_bvps_fy4,The Highest estimation of Book Value Per Share - upcoming 4 years
29,anl14_high_bvps_fy5,The Highest estimation of Book Value Per Share - upcoming 5 years
30,anl14_high_capex_fp1,The Highest estimation of Capital Expenditures - upcoming quarter
31,anl14_high_capex_fp2,The Highest estimation of Capital Expenditures - upcoming 2 quarters
32,anl14_high_capex_fp3,The Highest estimation of Capital Expenditures - upcoming 3 quarters
33,anl14_high_capex_fp4,The Highest estimation of Capital Expenditures - upcoming 4 quarters
34,anl14_high_capex_fp5,The Highest estimation of Capital Expenditures - upcoming 5 quarters
35,anl14_high_capex_fy1,The Highest estimation of Capital Expenditures - upcoming year
36,anl14_high_capex_fy2,The Highest estimation of Capital Expenditures - upcoming 2 years
37,anl14_high_capex_fy3,The Highest estimation of Capital Expenditures - upcoming 3 years
38,anl14_high_capex_fy4,The Highest estimation of Capital Expenditures - upcoming 4 years
39,anl14_high_capex_fy5,The Highest estimation of Capital Expenditures - upcoming 5 years
40,anl14_high_cfps_fp1,The Highest estimation of Cash Flow Per Share - upcoming quarter
41,anl14_high_cfps_fp2,The Highest estimation of Cash Flow Per Share - upcoming 2 quarters
42,anl14_high_cfps_fp3,The Highest estimation of Cash Flow Per Share - upcoming 3 quarters
43,anl14_high_cfps_fp4,The Highest estimation of Cash Flow Per Share - upcoming 4 quarters
44,anl14_high_cfps_fy1,The Highest estimation of Cash Flow Per Share - upcoming year
45,anl14_high_cfps_fy2,The Highest estimation of Cash Flow Per Share - upcoming 2 years
46,anl14_high_cfps_fy3,The Highest estimation of Cash Flow Per Share - upcoming 3 years
47,anl14_high_cfps_fy4,The Highest estimation of Cash Flow Per Share - upcoming 4 years
48,anl14_high_div_fp1,The Highest estimation of Dividend - upcoming quarter
49,anl14_high_div_fp2,The Highest estimation of Dividend - upcoming 2 quarters
50,anl14_high_div_fp3,The Highest estimation of Dividend - upcoming 3 quarters
51,anl14_high_div_fp4,The Highest estimation of Dividend - upcoming 4 quarters
52,anl14_high_div_fp5,The Highest estimation of Dividend - upcoming 5 quarters
53,anl14_high_div_fy1,The Highest estimation of Dividend - upcoming year
54,anl14_high_div_fy2,The Highest estimation of Dividend - upcoming 2 years
55,anl14_high_div_fy3,The Highest estimation of Dividend - upcoming 3 years
56,anl14_high_div_fy4,The Highest estimation of Dividend - upcoming 4 years
57,anl14_high_div_fy5,The Highest estimation of Dividend - upcoming 5 years
58,anl14_high_ebit_fp1,The Highest estimation of Earnings Before Interest & Taxes - upcoming quarter
59,anl14_high_ebit_fp2,The Highest estimation of Earnings Before Interest & Taxes - upcoming 2 quarters
60,anl14_high_ebit_fp3,The Highest estimation of Earnings Before Interest & Taxes - upcoming 3 quarters
61,anl14_high_ebit_fp4,The Highest estimation of Earnings Before Interest & Taxes - upcoming 4 quarters
62,anl14_high_ebit_fp5,The Highest estimation of Earnings Before Interest & Taxes - upcoming 5 quarters
63,anl14_high_ebit_fy1,The Highest estimation of Earnings Before Interest & Taxes - upcoming year
64,anl14_high_ebit_fy2,The Highest estimation of Earnings Before Interest & Taxes - upcoming 2 years
65,anl14_high_ebit_fy3,The Highest estimation of Earnings Before Interest & Taxes - upcoming 3 years
66,anl14_high_ebit_fy4,The Highest estimation of Earnings Before Interest & Taxes - upcoming 4 years
67,anl14_high_ebit_fy5,The Highest estimation of Earnings Before Interest & Taxes - upcoming 5 years
68,anl14_high_ebitda_fp1,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming quarter"
69,anl14_high_ebitda_fp2,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 quarters"
70,anl14_high_ebitda_fp3,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 quarters"
71,anl14_high_ebitda_fp4,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 quarters"
72,anl14_high_ebitda_fp5,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 quarters"
73,anl14_high_ebitda_fy1,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming year"
74,anl14_high_ebitda_fy2,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 years"
75,anl14_high_ebitda_fy3,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 years"
76,anl14_high_ebitda_fy4,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 years"
77,anl14_high_ebitda_fy5,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 years"
78,anl14_high_eps_fp1,The Highest estimation of Earnings Per Share - upcoming quarter
79,anl14_high_eps_fp2,The Highest estimation of Earnings Per Share - upcoming 2 quarters
80,anl14_high_eps_fp3,The Highest estimation of Earnings Per Share - upcoming 3 quarters
81,anl14_high_eps_fp4,The Highest estimation of Earnings Per Share - upcoming 4 quarters
82,anl14_high_eps_fp5,The Highest estimation of Earnings Per Share - upcoming 5 quarters
83,anl14_high_eps_fy1,The Highest estimation of Earnings Per Share - upcoming year
84,anl14_high_eps_fy2,The Highest estimation of Earnings Per Share - upcoming 2 years
85,anl14_high_eps_fy3,The Highest estimation of Earnings Per Share - upcoming 3 years
86,anl14_high_eps_fy4,The Highest estimation of Earnings Per Share - upcoming 4 years
87,anl14_high_eps_fy5,The Highest estimation of Earnings Per Share - upcoming 5 years
88,anl14_high_epsrep_fp1,The Highest estimation of Reported Earnings Per Share - upcoming quarter
89,anl14_high_epsrep_fp2,The Highest estimation of Reported Earnings Per Share - upcoming 2 quarters
90,anl14_high_epsrep_fp3,The Highest estimation of Reported Earnings Per Share - upcoming 3 quarters
91,anl14_high_epsrep_fp4,The Highest estimation of Reported Earnings Per Share - upcoming 4 quarters
92,anl14_high_epsrep_fp5,The Highest estimation of Reported Earnings Per Share - upcoming 5 quarters
93,anl14_high_epsrep_fy1,The Highest estimation of Reported Earnings Per Share - upcoming year
94,anl14_high_epsrep_fy2,The Highest estimation of Reported Earnings Per Share - upcoming 2 years
95,anl14_high_epsrep_fy3,The Highest estimation of Reported Earnings Per Share - upcoming 3 years
96,anl14_high_epsrep_fy4,The Highest estimation of Reported Earnings Per Share - upcoming 4 years
97,anl14_high_epsrep_fy5,The Highest estimation of Reported Earnings Per Share - upcoming 5 years
98,anl14_high_nav_fy1,The Highest estimation of Net asset value - upcoming year
