,id,description
0,anl15_gr_12_m_1m_chg,The weighted one month percent change of 12 month forward EPS estimation aggregated within GICS group grouping.
1,anl15_gr_12_m_3m_chg,The weighted three month percent change of 12 month forward EPS estimation aggregated within GICS group grouping.
2,anl15_gr_12_m_6m_chg,The weighted six month percent change of 12 month forward EPS estimation aggregated within GICS group grouping.
3,anl15_gr_12_m_cos,The number of companies with a 12 month forward mean EPS estimation within GICS group grouping.
4,anl15_gr_12_m_cos_dn,The number of companies for which 12 month forward mean EPS estimation has been lowered from last month within GICS group grouping.
5,anl15_gr_12_m_cos_up,The number of companies for which 12 month forward mean EPS estimation has been raised from last month within GICS group grouping.
6,anl15_gr_12_m_ests,The 12 month forward pro-rated total number of estimates within GICS group grouping.
7,anl15_gr_12_m_ests_dn,The 12 month forward pro-rated total number of estimates which have been lowered since last month within GICS group grouping.
8,anl15_gr_12_m_ests_up,The 12 month forward pro-rated total number of estimates which have been raised since last month within GICS group grouping.
9,anl15_gr_12_m_gro,The weighted 12 month forward year over year growth of EPS estimation aggregated within GICS group grouping.
10,anl15_gr_12_m_mean,The weighted average of 12 month forward EPS estimation aggregated within GICS group grouping.
11,anl15_gr_12_m_mktcap,The total market capitalization for the companies aggregated within GICS group grouping with a 12 month forward mean price estimation.
12,anl15_gr_12_m_pe,The weighted average price/earnings ratio based on 12 month forward EPS estimation aggregated within GICS group grouping.
13,anl15_gr_12_m_st_dev,The weighted average standard deviation of 12 month forward EPS estimation aggregated within GICS group grouping.
14,anl15_gr_12_m_total,The total of 12 month forward earnings estimation aggregated within GICS group grouping.
15,anl15_gr_12_m_tr_mean,The weighted average of 12 month trailing EPS aggregated within GICS group grouping.
16,anl15_gr_18_m_1m_chg,The weighted one month percent change of 18 month forward EPS estimation aggregated within GICS group grouping.
17,anl15_gr_18_m_3m_chg,The weighted three month percent change of 18 month forward EPS estimation aggregated within GICS group grouping.
18,anl15_gr_18_m_6m_chg,The weighted six month percent change of 18 month forward EPS estimation aggregated within GICS group grouping.
19,anl15_gr_18_m_cos,The number of companies with a 18 month forward mean EPS estimation within GICS group grouping.
