,id,description
0,mdl26_5yr_hstrcl_grwth_rt,5year historical growth rate
1,mdl26_60dy_srprs_lst_q_rnngs,60day surprise (actual value - predicted value) last QTR earnings
2,mdl26_60dy_srprs_lst_y_rnngs,60day surprise (actual value - predicted value) last YEAR earnings
3,mdl26_7dy_mn_chng_flg_fq1_rnngs,7day mean change flag FQTR1 earnings
4,mdl26_actual_last_q_earnings,actual last QTR earnings
5,mdl26_actual_last_y_earnings,actual last YEAR earnings
6,mdl26_avrevsn_fq1_earnings_30,average revision FQTR1 earnings: 30 days
7,mdl26_blndd_grwth_ndstry_prcntl,blended growth industry percentile
8,mdl26_blndd_grwth_rt_smrtstmt,blended growth rate smartestimate
9,mdl26_blndd_grwth_sctr_prcntl,blended growth sector percentile
10,mdl26_chng_frm_52wk_hgh_prc,change from 52week high price
11,mdl26_chng_frm_52wk_lw_prc,change from 52week low price
12,mdl26_chng_rltv_t_cc_40_30,change relative to CAC40 30 day average
13,mdl26_chng_rltv_t_cntry_bnchmrk_30,change relative to country benchmark 30 day average
14,mdl26_chng_rltv_t_dj_stxx_600_30,change relative to DJStoxx600 30 day average
15,mdl26_chng_rltv_t_fts_100_30,change relative to FTSE100 30 day average
16,mdl26_chng_rltv_t_hng_sng_30,change relative to HangSeng 30 day average
17,mdl26_chng_rltv_t_js_ll_shr_30,change relative to JSE-ALL 30 day average
18,mdl26_chng_rltv_t_msc_f_30,change relative to MSCI-EAFE 30 day average
19,mdl26_chng_rltv_t_msc_mf_30,change relative to MSCI-EMF 30 day average
20,mdl26_chng_rltv_t_msc_pc_x_jp_30,change relative to MSCI-PACExJP 30 day average
21,mdl26_chng_rltv_t_msc_rp_30,change relative to MSCI-EUROPE 30 day average
22,mdl26_chng_rltv_t_ndstry_bnchmrk_30,change relative to industry benchmark 30 day average
23,mdl26_chng_rltv_t_r1000_grwth_30,change relative to Russell1000 growth 30 day average
24,mdl26_chng_rltv_t_rssll_2000_30,change relative to Russell2000 30 day average
25,mdl26_chng_rltv_t_rssll_mdcp_30,change relative to Russell-midcap 30 day average
26,mdl26_chng_rltv_t_sp_400_30,change relative to SNP400 30 day average
27,mdl26_chng_rltv_t_sp_500_30,change relative to SNP500 30 day average
28,mdl26_chng_rltv_t_sp_600_30,change relative to SNP600 30 day average
29,mdl26_chng_rltv_t_sx_100_30,change relative to ASX100 30 day average
30,mdl26_chng_rltv_t_sx_200_30,change relative to ASX200 30 day average
31,mdl26_chng_rltv_t_sx_300_30,change relative to ASX300 30 day average
32,mdl26_chng_rltv_t_sx_ll_rd_30,change relative to ASX-ALL Ord 30 day average
33,mdl26_chng_rltv_t_tpx_30,change relative to topix 30 day average
34,mdl26_chng_rltv_t_tsx_cmpst_30,change relative to tsx composite 30 day average
35,mdl26_days_since_last_report,days since last report
36,mdl26_dff_frm_200dy_mvng_vrg,difference from 200day moving average
37,mdl26_dff_frm_50dy_mvng_vrg,difference from 50day moving average
38,mdl26_dffrnc_frm_hstrcl_p,difference from historical (Price/Earnings ratio)
39,mdl26_dffrnc_frm_hstrcl_prc_rt_rnngs,difference from historical (Price/Earnings ratio)
40,mdl26_dsnc_clstr_bgn_fq1_rnngs,days since cluster began FQTR1 earnings
41,mdl26_dsnc_clstr_dtctd_fq1_rnngs,days since cluster detected FQTR1 earnings
42,mdl26_dsnc_lst_ps_prnnncmnt,days since last positive preannouncement
43,mdl26_dsnc_prd_srprs_flg_chg_fq1_rnngs,days since pred surprise (actual value - predicted value) flag chg FQTR1 earnings
44,mdl26_ep_industry_percentile_fy1,(Earnings/Price ratio)industry percentile FYEAR1
45,mdl26_ep_sector_percentile_fy1,(Earnings/Price ratio)sector percentile FYEAR1
46,mdl26_ep_yield_smartestimate_fy1,(Earnings/Price ratio)yield smartestimate FYEAR1
47,mdl26_forward_pe_mean_fy1,forward (Price/Earnings ratio) mean FYEAR1
48,mdl26_frwrd_p_stm_fy1,forward (Price/Earnings ratio) smartestimate FYEAR1
49,mdl26_grwth_nxt_yr_ndstry_prcntl_rnngs,growth next yr industry percentile earnings
50,mdl26_grwth_nxt_yr_sctr_prcntl_rnngs,growth next yr sector percentile earnings
51,mdl26_grwth_ths_yr_ndstry_prcntl_rnngs,growth this yr industry percentile earnings
52,mdl26_grwth_ths_yr_sctr_prcntl_rnngs,growth this yr sector percentile earnings
53,mdl26_hgh_stmt_chng_fq1_rnngs_30,high estimate FQTR1 earnings change over days: 30
54,mdl26_hgh_stmt_prr_fq1_rnngs_30,high estimate prior FQTR1 earnings: 30 days
55,mdl26_high_price_52,high price 52 days
56,mdl26_last_fiscal_year_pe,last fiscal year (Price/Earnings ratio)
57,mdl26_low_price_52,low price 52 days
58,mdl26_lt_grwth_ndstry_prcntl,Long-term growth industry percentile
59,mdl26_lt_grwth_sctr_prcntl,Long-term growth sector percentile
60,mdl26_lw_stmt_chng_fq1_rnngs_30,low estimate FQTR1 earnings change over days: 30
61,mdl26_lw_stmt_prr_fq1_rnngs_30,low estimate prior FQTR1 earnings: 30 days
62,mdl26_market_cap_l,market cap Local Currency
63,mdl26_market_cap_u,market cap USD
64,mdl26_mdn_hstrcl_f12m_prc_rt_rnngs,median historical (Price/Earnings ratio) F-12MonthsRolling
65,mdl26_median_historical_f12m_pe,median historical F-12MonthsRolling (Price/Earnings ratio)
66,mdl26_mn_f_rvsnclstr_nlysts_fq1_rnngs,mean of revisioncluster(cluster of similar companies that are generally revised together) analysts FQTR1 earnings
67,mdl26_mn_stmt_prc_rt_fy1_rnngs,mean estimate (Price/Earnings ratio) FYEAR1
68,mdl26_mn_stmt_prr_fq1_rnngs_7,mean estimate prior FQTR1 earnings: 7 days
69,mdl26_mstchg_fq1_rnngs_30,mean estimate FQTR1 earnings change over days: 30
70,mdl26_nm_mn_nlysts_prr_fq1_rnngs_7,number of mean analysts prior FQTR1 earnings: 7 days
71,mdl26_nm_rvsnclstr_nlysts_fq1_rnngs,number of revisioncluster(cluster of similar companies that are generally revised together) analysts FQTR1 earnings
72,mdl26_nm_stm_nlysts_fq1_rnngs,number of smartestimate analysts FQTR1 earnings
73,mdl26_nnlyst_rvsng_dwn_fq1_rnngs_30,number of analysts revising down FQTR1 earnings: 30 days
74,mdl26_nnlyst_rvsng_p_fq1_rnngs_30,number of analysts revising up FQTR1 earnings: 30 days
75,mdl26_peg_mean_fy1,(Price/Earnings-to-growth) mean FYEAR1
76,mdl26_peg_smartestimate_fy1,(Price/Earnings-to-growth) smartestimate FYEAR1
77,mdl26_price_change_30,price change in days: 30
78,mdl26_prsprise_flag_fq1_earnings,predicted surprise (actual value - predicted value) flag FQTR1 earnings
79,mdl26_prsprise_fq1_earnings,predicted surprise (actual value - predicted value) FQTR1 earnings
