,id,description
0,oth176_close_eq_cap,Market Cap. US dolloars for US. Local Currecy for each region
1,oth176_eq_hedge,"Score of Hedge model (A Hedge Model is developed to provide a downside insurance to our baseline scenario, using those periods that are different from our current enviroment)"
2,oth176_eq_medium,Score of the Medium model (A Medium-Term Model is trained using a rolling 12 month window)
3,oth176_eq_mktcap,Market Cap. US dolloars for US. Local Currecy for each region
4,oth176_eq_seasonality,Score of the Seasonality Model (A seasonal Model is trained using a rolling 10 year window of the same calendar months)
5,oth176_eq_short,Score of the Short model (A short term Model uses only the previous month data)
6,oth176_hc_eq_hedge,"Score of Hedge model (A Hedge Model is developed to provide a downside insurance to our baseline scenario, using those periods that are different from our current enviroment)"
7,oth176_hc_eq_medium,Score of the Medium model (A Medium-Term Model is trained using a rolling 12 month window)
8,oth176_hc_eq_mktcap,Market Cap. US dolloars for US. Local Currecy for each region
9,oth176_hc_eq_seasonality,Score of the Seasonality Model (A seasonal Model is trained using a rolling 10 year window of the same calendar months)
10,oth176_hc_eq_short,Score of the Short model (A short term Model uses only the previous month data)
11,oth176_lmt_close_eq_score,Model Composite Score
12,oth176_lmt_close_eq_sector,GICS sector
13,oth176_lmt_open_eq_score,Model Composite Score
14,oth176_lmt_open_eq_sector,GICS sector
15,oth176_malta_eq_score,Model Composite Score
16,oth176_malta_eq_sector,GICS sector
17,oth176_maltahc_eq_score,Model Composite Score
18,oth176_maltahc_eq_sector,GICS sector
19,oth176_open_eq_cap,Market Cap. US dolloars for US. Local Currecy for each region
