,id,description
0,anl69_aeps_best_crncy_iso,Currency (ISO)
1,anl69_aeps_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
2,anl69_aeps_best_cur_fiscal_year_period,Current Fiscal Year Period Date
3,anl69_aeps_best_eeps_cur_yr,Est Earnings per share Curr Year
4,anl69_aeps_best_eeps_nxt_yr,Est Earnings per share Next Year
7,anl69_aeps_expected_report_dt,Expected Earnings Report Date
9,anl69_aeps_expected_report_time,Expected Earnings Report Time
13,anl69_analyst_best_crncy_iso,Currency (ISO)
14,anl69_analyst_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
15,anl69_analyst_best_cur_fiscal_year_period,Current Fiscal Year Period Date
16,anl69_analyst_best_eeps_cur_yr,Est Earnings per share Curr Year
17,anl69_analyst_best_eeps_nxt_yr,Est Earnings per share Next Year
20,anl69_analyst_expected_report_dt,Expected Earnings Report Date
22,anl69_analyst_expected_report_time,Expected Earnings Report Time
27,anl69_bbg_dividend_information_m21_hs_dvd_yqe,Dividend Per Share 12 Month (Net)
28,anl69_bbg_equity_m21_hs_dvd_yqe,Dividend Per Share 12 Month (Net)
49,anl69_best_crncy_iso,Currency (ISO)
51,anl69_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
52,anl69_best_cur_fiscal_year_period,Current Fiscal Year Period Date
80,anl69_best_eeps_cur_yr,Est Earnings per share Curr Year
81,anl69_best_eeps_nxt_yr,Est Earnings per share Next Year
198,anl69_bps_best_crncy_iso,Currency (ISO)
199,anl69_bps_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
200,anl69_bps_best_cur_fiscal_year_period,Current Fiscal Year Period Date
201,anl69_bps_best_eeps_cur_yr,Est Earnings per share Curr Year
202,anl69_bps_best_eeps_nxt_yr,Est Earnings per share Next Year
204,anl69_bps_expected_report_dt,Expected Earnings Report Date
205,anl69_bps_expected_report_time,Expected Earnings Report Time
207,anl69_bps_new_best_crncy_iso,Currency (ISO)
208,anl69_bps_new_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
209,anl69_bps_new_best_cur_fiscal_year_period,Current Fiscal Year Period Date
210,anl69_bps_new_best_eeps_cur_yr,Est Earnings per share Curr Year
211,anl69_bps_new_best_eeps_nxt_yr,Est Earnings per share Next Year
213,anl69_bps_new_expected_report_dt,Expected Earnings Report Date
215,anl69_bps_new_expected_report_time,Expected Earnings Report Time
218,anl69_cest_best_crncy_iso,Currency (ISO)
219,anl69_cest_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
220,anl69_cest_best_cur_fiscal_year_period,Current Fiscal Year Period Date
221,anl69_cest_best_eeps_cur_yr,Est Earnings per share Curr Year
222,anl69_cest_best_eeps_nxt_yr,Est Earnings per share Next Year
227,anl69_cest_expected_report_dt,Expected Earnings Report Date
