,id,description
0,inst15_10yeargrowthpersistence,10 Year Growth Persistence
1,inst15_10yeartotalreturn,Last 120 month's total return (assuming reinvestment of all distributions)
2,inst15_10yrloadadjret,Last 120 month's total return (assuming reinvestment of all distributions) + maximum sales charges
3,inst15_10yrpercentrankvsobj,"Rank of fund within peer group - 10 year's total return ranking (1 is best, 99 is worst)"
4,inst15_15yeartotalreturn,Last 180 month's total return (assuming reinvestment of all distributions)
5,inst15_15yrpercentrankvsobj,"Rank of fund within peer group - 15 year's total return ranking (1 is best, 99 is worst)"
6,inst15_1monthtotalreturn,Most recent month's total return (assuming reinvestment of all distributions)
7,inst15_1mopercentrankvsobj,"Rank of fund within peer group - 1 month's total return ranking (1 is best, 99 is worst)"
8,inst15_1weektotalreturn,1 week total return (assuming reinvestment of all distributions.)
9,inst15_1yeargrowthpersistence,Returns the 1 year growth in performance persistence
10,inst15_1yearret,Institution recent 12 months return percent released every quarter
11,inst15_1yeartotalreturn,Last 12 month's total return (assuming reinvestment of all distributions)
12,inst15_1yrloadadjret,Last 12 month's total return (assuming reinvestment of all distributions) + maximum sales charges
13,inst15_1yrpercentrankvsobj,"Rank of fund within peer group - 1 year's total return ranking (1 is best, 99 is worst)"
14,inst15_20yeartotalreturn,Last 240 month's total return (assuming reinvestment of all distributions)
15,inst15_20yrpercentrankvsobj,"Rank of fund within peer group - 20 year's total return ranking (1 is best, 99 is worst)"
16,inst15_3monthret,Institution recent 3 months return percent released every quarter
17,inst15_3monthtotalreturn,Most recent three month's total return (assuming reinvestment of all dist.)
18,inst15_3mopercentrankvsobj,"3 month's return ranking (1 is best, 99 is worst)"
19,inst15_3yeartotalreturn,Last 180 month's total return (assuming reinvestment of all distributions)
20,inst15_3yrpercentrankvsobj,"Rank of fund within peer group - 3 year's total return ranking (1 is best, 99 is worst)"
21,inst15_4weektotalreturn,Last 120 month's total return (assuming reinvestment of all distributions)
22,inst15_5yeargrowthpersistence,5 year growth persistence
23,inst15_5yeartotalreturn,Last 60 month's total return (assuming reinvestment of all distributions)
24,inst15_5yrloadadjret,Last 60 month's total return (assuming reinvestment of all distributions) + maximum sales charges
25,inst15_5yrpercentrankvsobj,"Rank of fund within peer group - 5 year's total return ranking (1 is best, 99 is worst)"
26,inst15_6monthret,Institution recent 6 months return percent released every quarter
27,inst15_6monthtotalreturn,Last 6 month's total return (assuming reinvestment of all distributions)
28,inst15_6mopercentrankvsobj,"Rank of fund within peer group - 6 month's total return ranking (1 is best, 99 is worst)"
