,id,description
0,mcr38_adx_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. -> for ADX indicator"
1,mcr38_adx_signal,S(sell)/B(buy)/H(hold) for average directional index (ADX) indicator
2,mcr38_adx_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for average directional index (ADX) indicator"
3,mcr38_bb_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. ->for BB indicator"
4,mcr38_bb_signal,S(sell)/B(buy)/H(hold) for bollinger band (BB) indicator
5,mcr38_bb_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for bollinger band (bb) indicator"
6,mcr38_cci_40_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. ->for CCI_40 indicator"
7,mcr38_cci_40_signal,S(sell)/B(buy)/H(hold) for commodity channel index (cci) 40 days indicator
8,mcr38_cci_40_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for commodity channel index (cci) 40days indicator"
9,mcr38_cci_60_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. ->for CCI_60 indicator"
10,mcr38_cci_60_signal,S(sell)/B(buy)/H(hold) for commodity channel index (cci) 60 days indicator
11,mcr38_cci_60_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for commodity channel index (cci) 60days indicator"
12,mcr38_change,Change in price in last 1 day
13,mcr38_direction_rating,Overall direction rating from 1 to 10
14,mcr38_high,High price in last day
15,mcr38_last,Latest close price
16,mcr38_longterm_percent,Average signal across all long term indicators
17,mcr38_longterm_signal,Buy(B)/Sell(S)/Hold(H) average across all long term indicators
18,mcr38_low,Low price in last day
19,mcr38_ma_100_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. ->for MA_100 indicator"
20,mcr38_ma_100_signal,S(sell)/B(buy)/H(hold) for moving average (ma) 100 days indicator
21,mcr38_ma_100_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for moving average (ma) 100days indicator"
22,mcr38_ma_20_direction,"If signal is Buy or Sell, this field tellls whether signal is strengthening (5) or weakening (1). If signal is Hold, this field tells if it is heading towards bullish (5) or bearish (1) signal. ->for MA_20 indicator"
23,mcr38_ma_20_signal,S(sell)/B(buy)/H(hold) for moving average (ma) 20 days indicator
24,mcr38_ma_20_strength,"Strength of signal compared to historical performance, from minimum 1 to maximum 5, for moving average (ma) 20days indicator"
