,id,description
0,mdl211_delta_ebtq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 ebitda
1,mdl211_delta_ebtq_q1_madp,Mean of absolute deviation of predicted values for Q1 ebitda
2,mdl211_delta_ebtq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 ebitda
3,mdl211_delta_ebtq_q1_predict,Predicted value of Q1 ebitda
4,mdl211_delta_ebtq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 ebitda
5,mdl211_delta_ebtq_q2_madp,Mean of absolute deviation of predicted values for Q2 ebitda
6,mdl211_delta_ebtq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 ebitda
7,mdl211_delta_ebtq_q2_predict,Predicted value of Q2 ebitda
8,mdl211_delta_ebtq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 ebitda
9,mdl211_delta_ebtq_q3_madp,Mean of absolute deviation of predicted values for Q3 ebitda
10,mdl211_delta_ebtq_q3_mae,Mean of absolute error of the model of a particular stock for Q3 ebitda
11,mdl211_delta_ebtq_q3_predict,Predicted value of Q3 ebitda
12,mdl211_delta_ebtq_q4_mada,Mean of absolute deviation of scaled actual values for Q4 ebitda
13,mdl211_delta_ebtq_q4_madp,Mean of absolute deviation of predicted values for Q4 ebitda
14,mdl211_delta_ebtq_q4_mae,Mean of absolute error of the model of a particular stock for Q4 ebitda
15,mdl211_delta_ebtq_q4_predict,Predicted value of Q4 ebitda
16,mdl211_delta_ebty_y1_mada,Mean of absolute deviation of scaled actual values for annual ebitda
17,mdl211_delta_ebty_y1_madp,Mean of absolute deviation of predicted values for annual ebitda
18,mdl211_delta_ebty_y1_mae,Mean of absolute error of the model of a particular stock for annual ebitda
19,mdl211_delta_ebty_y1_predict,Predicted value of annual ebitda
20,mdl211_delta_epsq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 eps
21,mdl211_delta_epsq_q1_madp,Mean of absolute deviation of predicted values for Q1 eps
22,mdl211_delta_epsq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 eps
23,mdl211_delta_epsq_q1_predict,Predicted value of Q1 eps
24,mdl211_delta_epsq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 eps
25,mdl211_delta_epsq_q2_madp,Mean of absolute deviation of predicted values for Q2 eps
26,mdl211_delta_epsq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 eps
27,mdl211_delta_epsq_q2_predict,Predicted value of Q2 eps
28,mdl211_delta_epsq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 eps
29,mdl211_delta_epsq_q3_madp,Mean of absolute deviation of predicted values for Q3 eps
30,mdl211_delta_epsq_q3_mae,Mean of absolute error of the model of a particular stock for Q3 eps
31,mdl211_delta_epsq_q3_predict,Predicted value of Q3 eps
32,mdl211_delta_epsq_q4_mada,Mean of absolute deviation of scaled actual values for Q4 eps
33,mdl211_delta_epsq_q4_madp,Mean of absolute deviation of predicted values for Q4 eps
34,mdl211_delta_epsq_q4_mae,Mean of absolute error of the model of a particular stock for Q4 eps
35,mdl211_delta_epsq_q4_predict,Predicted value of Q4 eps
36,mdl211_delta_epsy_y1_mada,Mean of absolute deviation of scaled actual values for annual eps
37,mdl211_delta_epsy_y1_madp,Mean of absolute deviation of predicted values for annual eps
38,mdl211_delta_epsy_y1_mae,Mean of absolute error of the model of a particular stock for annual eps
39,mdl211_delta_epsy_y1_predict,Predicted value of annual eps
40,mdl211_delta_gpsq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 eps(gaap)
41,mdl211_delta_gpsq_q1_madp,Mean of absolute deviation of predicted values for Q1 eps(gaap)
42,mdl211_delta_gpsq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 eps(gaap)
43,mdl211_delta_gpsq_q1_predict,Predicted value of Q1 eps(gaap)
44,mdl211_delta_gpsq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 eps(gaap)
45,mdl211_delta_gpsq_q2_madp,Mean of absolute deviation of predicted values for Q2 eps(gaap)
46,mdl211_delta_gpsq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 eps(gaap)
47,mdl211_delta_gpsq_q2_predict,Predicted value of Q2 eps(gaap)
48,mdl211_delta_gpsq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 eps(gaap)
49,mdl211_delta_gpsq_q3_madp,Mean of absolute deviation of predicted values for Q3 eps(gaap)
50,mdl211_delta_gpsq_q3_mae,Mean of absolute error of the model of a particular stock for Q3 eps(gaap)
51,mdl211_delta_gpsq_q3_predict,Predicted value of Q3 eps(gaap)
52,mdl211_delta_gpsq_q4_mada,Mean of absolute deviation of scaled actual values for Q4 eps(gaap)
53,mdl211_delta_gpsq_q4_madp,Mean of absolute deviation of predicted values for Q4 eps(gaap)
54,mdl211_delta_gpsq_q4_mae,Mean of absolute error of the model of a particular stock for Q4 eps(gaap)
55,mdl211_delta_gpsq_q4_predict,Predicted value of Q4 eps(gaap)
56,mdl211_delta_gpsy_y1_mada,Mean of absolute deviation of scaled actual values for annual eps(gaap)
57,mdl211_delta_gpsy_y1_madp,Mean of absolute deviation of predicted values for annual eps(gaap)
58,mdl211_delta_gpsy_y1_mae,Mean of absolute error of the model of a particular stock for annual eps(gaap)
59,mdl211_delta_gpsy_y1_predict,Predicted value of annual eps(gaap)
60,mdl211_delta_netq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 net income
61,mdl211_delta_netq_q1_madp,Mean of absolute deviation of predicted values for Q1 net income
62,mdl211_delta_netq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 net income
63,mdl211_delta_netq_q1_predict,Predicted value of Q1 net income
64,mdl211_delta_netq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 net income
65,mdl211_delta_netq_q2_madp,Mean of absolute deviation of predicted values for Q2 net income
66,mdl211_delta_netq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 net income
67,mdl211_delta_netq_q2_predict,Predicted value of Q2 net income
68,mdl211_delta_netq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 net income
69,mdl211_delta_netq_q3_madp,Mean of absolute deviation of predicted values for Q3 net income
70,mdl211_delta_netq_q3_mae,Mean of absolute error of the model of a particular stock for Q3 net income
71,mdl211_delta_netq_q3_predict,Predicted value of Q3 net income
72,mdl211_delta_netq_q4_mada,Mean of absolute deviation of scaled actual values for Q4 net income
73,mdl211_delta_netq_q4_madp,Mean of absolute deviation of predicted values for Q4 net income
74,mdl211_delta_netq_q4_mae,Mean of absolute error of the model of a particular stock for Q4 net income
75,mdl211_delta_netq_q4_predict,Predicted value of Q4 net income
76,mdl211_delta_nety_y1_mada,Mean of absolute deviation of scaled actual values for annual net income
77,mdl211_delta_nety_y1_madp,Mean of absolute deviation of predicted values for annual net income
78,mdl211_delta_nety_y1_mae,Mean of absolute error of the model of a particular stock for annual net income
79,mdl211_delta_nety_y1_predict,Predicted value of annual net income
80,mdl211_delta_oprq_q1_madp,Mean of absolute deviation of predicted values for Q1 operating income
81,mdl211_delta_oprq_q1_predict,Predicted value of Q1 operating income
82,mdl211_delta_oprq_q2_madp,Mean of absolute deviation of predicted values for Q2 operating income
83,mdl211_delta_oprq_q2_predict,Predicted value of Q2 operating income
84,mdl211_delta_oprq_q3_madp,Mean of absolute deviation of predicted values for Q3 operating income
85,mdl211_delta_oprq_q3_predict,Predicted value of Q3 operating income
86,mdl211_delta_oprq_q4_madp,Mean of absolute deviation of predicted values for Q4 operating income
87,mdl211_delta_oprq_q4_predict,Predicted value of Q4 operating income
88,mdl211_delta_opry_y1_madp,Mean of absolute deviation of predicted values for annual operating income
89,mdl211_delta_opry_y1_predict,Predicted value of annual operating income
90,mdl211_delta_preq_q1_mada,Mean of absolute deviation of scaled actual values for Q1 pre-tax profit
91,mdl211_delta_preq_q1_madp,Mean of absolute deviation of predicted values for Q1 pre-tax profit
92,mdl211_delta_preq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 pre-tax profit
93,mdl211_delta_preq_q1_predict,Predicted value of Q1 pre-tax profit
