,id,description
0,opt4_122_call_dis_delta20,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.2. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
1,opt4_122_call_dis_delta25,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.25. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
2,opt4_122_call_dis_delta30,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.3. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
3,opt4_122_call_dis_delta35,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.35. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
4,opt4_122_call_dis_delta40,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.4. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
5,opt4_122_call_dis_delta45,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.45. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
6,opt4_122_call_dis_delta50,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.5. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
7,opt4_122_call_dis_delta55,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.55. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
8,opt4_122_call_dis_delta60,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.6. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
9,opt4_122_call_dis_delta65,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.65. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
10,opt4_122_call_dis_delta70,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.7. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
11,opt4_122_call_dis_delta75,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.75. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
12,opt4_122_call_dis_delta80,"The dispersion of a theoretical call option with expiration of 122 days, at delta of 0.8. Dispersion is a measure of the accuracy of the implied volatility calculation, roughly corresponding to a weighted standard deviation. A larger dispersion indicates a less accurate smoothed implied volatility"
13,opt4_122_call_pre_delta20,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.2"
14,opt4_122_call_pre_delta25,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.25"
15,opt4_122_call_pre_delta30,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.3"
16,opt4_122_call_pre_delta35,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.35"
17,opt4_122_call_pre_delta40,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.4"
18,opt4_122_call_pre_delta45,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.45"
19,opt4_122_call_pre_delta50,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.5"
20,opt4_122_call_pre_delta55,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.55"
21,opt4_122_call_pre_delta60,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.6"
22,opt4_122_call_pre_delta65,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.65"
23,opt4_122_call_pre_delta70,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.7"
24,opt4_122_call_pre_delta75,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.75"
25,opt4_122_call_pre_delta80,"The premium of a theoretical call option with expiration of 122 days, at delta of 0.8"
26,opt4_122_call_strike_delta20,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.2"
27,opt4_122_call_strike_delta25,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.25"
28,opt4_122_call_strike_delta30,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.3"
29,opt4_122_call_strike_delta35,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.35"
30,opt4_122_call_strike_delta40,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.4"
31,opt4_122_call_strike_delta45,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.45"
32,opt4_122_call_strike_delta50,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.5"
33,opt4_122_call_strike_delta55,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.55"
34,opt4_122_call_strike_delta60,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.6"
35,opt4_122_call_strike_delta65,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.65"
36,opt4_122_call_strike_delta70,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.7"
37,opt4_122_call_strike_delta75,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.75"
38,opt4_122_call_strike_delta80,"The strike price of a theoretical call option with expiration of 122 days, at delta of 0.8"
39,opt4_122_call_vola_delta20,"The implied volatility of a theoretical call option with expiration of 122 days, at delta of 0.2"
