,id,description
0,historical_volatility_10,Close-to-close Historical volatility over 10 days
1,historical_volatility_120,Close-to-close Historical volatility over 120 days
2,historical_volatility_150,Close-to-close Historical volatility over 150 days
3,historical_volatility_180,Close-to-close Historical volatility over 180 days
4,historical_volatility_20,Close-to-close Historical volatility over 20 days
5,historical_volatility_30,Close-to-close Historical volatility over 30 days
6,historical_volatility_60,Close-to-close Historical volatility over 60 days
7,historical_volatility_90,Close-to-close Historical volatility over 90 days
8,implied_volatility_call_10,At-the-money option-implied volatility for call Option for 10 days
9,implied_volatility_call_1080,At-the-money option-implied volatility for call Option for 2070 days
10,implied_volatility_call_120,At-the-money option-implied volatility for call Option for 120 days
11,implied_volatility_call_150,At-the-money option-implied volatility for call Option for 150 days
12,implied_volatility_call_180,At-the-money option-implied volatility for call Option for 180 days
13,implied_volatility_call_20,At-the-money option-implied volatility for call Option for 20 days
14,implied_volatility_call_270,At-the-money option-implied volatility for call Option for 270 days
15,implied_volatility_call_30,At-the-money option-implied volatility for call Option for 30 days
16,implied_volatility_call_360,At-the-money option-implied volatility for call Option for 360 days
17,implied_volatility_call_60,At-the-money option-implied volatility for call Option for 60 days
18,implied_volatility_call_720,At-the-money option-implied volatility for call Option for 720 days
19,implied_volatility_call_90,At-the-money option-implied volatility for call Option for 90 days
20,implied_volatility_mean_10,At-the-money option-implied volatility mean for 10 days
21,implied_volatility_mean_1080,At-the-money option-implied volatility mean for 3 years
22,implied_volatility_mean_120,At-the-money option-implied volatility mean for 120 days
23,implied_volatility_mean_150,At-the-money option-implied volatility mean for 150 days
24,implied_volatility_mean_180,At-the-money option-implied volatility mean for 180 days
25,implied_volatility_mean_20,At-the-money option-implied volatility mean for 20 days
26,implied_volatility_mean_270,At-the-money option-implied volatility mean for 270 days
27,implied_volatility_mean_30,At-the-money option-implied volatility mean for 30 days
28,implied_volatility_mean_360,At-the-money option-implied volatility mean for 360 days
29,implied_volatility_mean_60,At-the-money option-implied volatility mean for 60 days
30,implied_volatility_mean_720,At-the-money option-implied volatility mean for 720 days
31,implied_volatility_mean_90,At-the-money option-implied volatility mean for 90 days
32,implied_volatility_mean_skew_10,At-the-money option-implied volatility mean skew for 10 days
33,implied_volatility_mean_skew_1080,At-the-money option-implied volatility mean skew for 3 years
34,implied_volatility_mean_skew_120,At-the-money option-implied volatility mean skew for 120 days
35,implied_volatility_mean_skew_150,At-the-money option-implied volatility mean skew for 150 days
36,implied_volatility_mean_skew_180,At-the-money option-implied volatility mean skew for 150 days
37,implied_volatility_mean_skew_20,At-the-money option-implied volatility mean skew for 180 days
38,implied_volatility_mean_skew_270,At-the-money option-implied volatility mean skew for 270 days
39,implied_volatility_mean_skew_30,At-the-money option-implied volatility mean skew for 30 days
40,implied_volatility_mean_skew_360,At-the-money option-implied volatility mean skew for 360 days
41,implied_volatility_mean_skew_60,At-the-money option-implied volatility mean skew for 60 days
42,implied_volatility_mean_skew_720,At-the-money option-implied volatility mean skew for 720 days
43,implied_volatility_mean_skew_90,At-the-money option-implied volatility mean skew for 90 days
44,implied_volatility_put_10,At-the-money option-implied volatility for Put Option for 10 days
45,implied_volatility_put_1080,At-the-money option-implied volatility for Put Option for 3 years
46,implied_volatility_put_120,At-the-money option-implied volatility for Put Option for 120 days
47,implied_volatility_put_150,At-the-money option-implied volatility for Put Option for 150 days
48,implied_volatility_put_180,At-the-money option-implied volatility for Put Option for 20 days
49,implied_volatility_put_20,At-the-money option-implied volatility for Put Option for 20 days
50,implied_volatility_put_270,At-the-money option-implied volatility for Put Option for 270 days
51,implied_volatility_put_30,At-the-money option-implied volatility for Put Option for 30 days
52,implied_volatility_put_360,At-the-money option-implied volatility for Put Option for 360 days
53,implied_volatility_put_60,At-the-money option-implied volatility for Put Option for 60 days
54,implied_volatility_put_720,At-the-money option-implied volatility for Put Option for 720 days
55,implied_volatility_put_90,At-the-money option-implied volatility for Put Option for 90 days
56,parkinson_volatility_10,Parkinson models' Historical volatility over 2 weeks
57,parkinson_volatility_120,Parkinson models' Historical volatility over 120 days
58,parkinson_volatility_150,Parkinson models' Historical volatility over 150 days
59,parkinson_volatility_180,Parkinson models' Historical volatility over 180 days
60,parkinson_volatility_20,Parkinson models' Historical volatility over 20 days
61,parkinson_volatility_30,Parkinson models' Historical volatility over 30 days
62,parkinson_volatility_60,Parkinson models' Historical volatility over 60 days
63,parkinson_volatility_90,Parkinson models' Historical volatility over 90 days
