,id,description
0,rsk62_1_100_intercept,Intercept Value
1,rsk62_1_100_ksrs,specific risks of stocks
2,rsk62_1_return,Returns
3,rsk62_5_100_intercept,Intercept value
4,rsk62_5_100_ksrs,specific risks of stocks
5,rsk62_5_return,Returns
6,rsk62_beta_1_100_banks,Bank Industry Beta
7,rsk62_beta_1_100_chemicals,Chemicals Industry Beta
8,rsk62_beta_1_100_commercialservices,Commercial Services Industry Beta
9,rsk62_beta_1_100_computers,Computers Industry Beta
10,rsk62_beta_1_100_curratio,current ratio
11,rsk62_beta_1_100_diversifiedfinanserv,Diversified financial services Industry Beta
12,rsk62_beta_1_100_dividend,dividend
13,rsk62_beta_1_100_electric,Electric Industry Beta
14,rsk62_beta_1_100_electronics,Electronics Industry Beta
15,rsk62_beta_1_100_food,Food Industry Beta
16,rsk62_beta_1_100_growth,eps growth
17,rsk62_beta_1_100_healthcare_products,Healthcare products Industry Beta
18,rsk62_beta_1_100_healthcare_services,Healthcare services Industry Beta
19,rsk62_beta_1_100_insurance,Insurance Industry Beta
20,rsk62_beta_1_100_internet,Internet Industry Beta
21,rsk62_beta_1_100_logadv20,log(adv20)
22,rsk62_beta_1_100_logcap,log(cap)
23,rsk62_beta_1_100_margin,gross margin
24,rsk62_beta_1_100_mining,Mining Industry Beta
25,rsk62_beta_1_100_miscellaneousmanufactur,Miscellaneous Manufacturing Industry Beta
26,rsk62_beta_1_100_mtl,long term momentum
27,rsk62_beta_1_100_mts,short term momentum
28,rsk62_beta_1_100_nipe,net income per employee
29,rsk62_beta_1_100_oil_gas,Oil and Gas Industry Beta
30,rsk62_beta_1_100_pb,book value
31,rsk62_beta_1_100_pharmaceuticals,Pharmaceuticals Industry Beta
32,rsk62_beta_1_100_qe2d,debt to equity ratio
33,rsk62_beta_1_100_reits,REITS Industry Beta
34,rsk62_beta_1_100_retail,Retail Industry Beta
35,rsk62_beta_1_100_semiconductors,Semiconductors Industry Beta
36,rsk62_beta_1_100_software,Software Industry Beta
37,rsk62_beta_1_100_spe,earnings per share
38,rsk62_beta_1_100_telecommunications,Telecommunications Industry Beta
39,rsk62_beta_1_100_transportation,Transportation Industry Beta
40,rsk62_beta_1_100_volatility,volatility
41,rsk62_beta_5_100_banks,Expected indutry returns for Banks
42,rsk62_beta_5_100_chemicals,Expected indutry returns for Chemicals
43,rsk62_beta_5_100_commercialservices,Expected indutry returns for Commercial Services
44,rsk62_beta_5_100_computers,Expected indutry returns for Computer
45,rsk62_beta_5_100_curratio,current ratio
46,rsk62_beta_5_100_diversifiedfinanserv,Expected indutry returns for Diversified Financial Services
47,rsk62_beta_5_100_dividend,dividend
48,rsk62_beta_5_100_electric,Expected indutry returns for Electric
49,rsk62_beta_5_100_electronics,Expected indutry returns for Electronics
50,rsk62_beta_5_100_food,Expected indutry returns for Food
51,rsk62_beta_5_100_growth,eps growth
52,rsk62_beta_5_100_healthcare_products,Expected indutry returns for Healthcare products
53,rsk62_beta_5_100_healthcare_services,Expected indutry returns for Healthcare services
54,rsk62_beta_5_100_insurance,Expected indutry returns for Insurance
55,rsk62_beta_5_100_internet,Expected indutry returns for Internet
56,rsk62_beta_5_100_logadv20,log(adv20)
57,rsk62_beta_5_100_logcap,log(cap)
58,rsk62_beta_5_100_margin,gross margin
59,rsk62_beta_5_100_mining,Expected indutry returns for Mining
60,rsk62_beta_5_100_miscellaneousmanufactur,Expected indutry returns for Miscellaneous Manufacturing
61,rsk62_beta_5_100_mtl,long term momentum
62,rsk62_beta_5_100_mts,short term momentum
63,rsk62_beta_5_100_nipe,net income per employee
64,rsk62_beta_5_100_oil_gas,Expected indutry returns for Oil & Gas
65,rsk62_beta_5_100_pb,book value
66,rsk62_beta_5_100_pharmaceuticals,Expected indutry returns for Pharmaceuticals
67,rsk62_beta_5_100_qe2d,debt to equity ratio
68,rsk62_beta_5_100_reits,Expected indutry returns for REITS
69,rsk62_beta_5_100_retail,Expected indutry returns for Retail
70,rsk62_beta_5_100_semiconductors,Expected indutry returns for Semiconductors
71,rsk62_beta_5_100_software,Expected indutry returns for Software
72,rsk62_beta_5_100_spe,earnings per share
73,rsk62_beta_5_100_telecommunications,Expected indutry returns for Telecommunications
74,rsk62_beta_5_100_transportation,Expected indutry returns for Transportation
75,rsk62_beta_5_100_volatility,volatility
76,rsk62_beta_factor_1_100_curratio,current ratio
77,rsk62_beta_factor_1_100_dividend,dividend
78,rsk62_beta_factor_1_100_growth,eps growth
79,rsk62_beta_factor_1_100_logadv20,log(adv20)
80,rsk62_beta_factor_1_100_logcap,log(cap)
81,rsk62_beta_factor_1_100_margin,gross margin
82,rsk62_beta_factor_1_100_mtl,long term momentum
83,rsk62_beta_factor_1_100_mts,short term momentum
84,rsk62_beta_factor_1_100_nipe,net income per employee
85,rsk62_beta_factor_1_100_pb,book value
86,rsk62_beta_factor_1_100_qe2d,debt to equity ratio
87,rsk62_beta_factor_1_100_spe,earnings per share
88,rsk62_beta_factor_1_100_volatility,volatility
89,rsk62_beta_factor_5_100_curratio,current ratio
90,rsk62_beta_factor_5_100_dividend,dividend
91,rsk62_beta_factor_5_100_growth,eps growth
92,rsk62_beta_factor_5_100_logadv20,log(adv20)
93,rsk62_beta_factor_5_100_logcap,log(cap)
